Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT,TLT
Date,,,,,,
2022-01-03,122.99907684326172,144.3000030517578,146.94000244140625,144.27999877929688,146.41000366210938,33860400
2022-01-04,122.48762512207031,143.6999969482422,144.1300048828125,142.74000549316406,143.61000061035156,21996400
2022-01-05,121.82271575927734,142.9199981689453,144.16000366210938,142.7100067138672,144.13999938964844,20911700
2022-01-06,122.13812255859375,143.2899932861328,143.44000244140625,142.2899932861328,142.58999633789062,18996400
2022-01-07,121.26013946533203,142.25999450683594,143.24000549316406,141.55999755859375,143.1300048828125,18756800
2022-01-10,121.55847930908203,142.61000061035156,142.80999755859375,141.36000061035156,141.64999389648438,13775800
2022-01-11,122.3682632446289,143.55999755859375,143.6300048828125,142.6999969482422,142.8800048828125,24388700
2022-01-12,121.89945983886719,143.00999450683594,144.00999450683594,143.0,143.89999389648438,14440600
2022-01-13,122.98199462890625,144.27999877929688,144.4199981689453,143.02999877929688,143.38999938964844,15166000
2022-01-14,121.12377166748047,142.10000610351562,143.4600067138672,141.7899932861328,143.4199981689453,22997500
2022-01-18,119.41901397705078,140.10000610351562,141.30999755859375,140.02000427246094,140.9600067138672,21171700
2022-01-19,120.24581909179688,141.07000732421875,141.7100067138672,140.30999755859375,140.52999877929688,17930500
2022-01-20,120.98741149902344,141.94000244140625,141.99000549316406,141.08999633789062,141.3699951171875,13959000
2022-01-21,122.42798614501953,143.6300048828125,144.10000610351562,142.6699981689453,143.39999389648438,28916600
2022-01-24,121.42211151123047,142.4499969482422,144.3699951171875,142.42999267578125,144.3000030517578,25001600
2022-01-25,121.22608184814453,142.22000122070312,143.7100067138672,141.8000030517578,143.11000061035156,15599000
2022-01-26,119.7599868774414,140.5,142.57000732421875,140.49000549316406,142.25999450683594,23655500
2022-01-27,121.95916748046875,143.0800018310547,143.3699951171875,142.3300018310547,142.41000366210938,21501800
2022-01-28,122.00176239013672,143.1300048828125,143.4600067138672,141.85000610351562,142.08999633789062,12826500
2022-01-31,121.3709487915039,142.38999938964844,142.9499969482422,141.9600067138672,142.17999267578125,13998400
2022-02-01,120.96809387207031,141.72000122070312,142.36000061035156,141.05999755859375,142.27999877929688,20806100
2022-02-02,121.37777709960938,142.1999969482422,143.57000732421875,141.92999267578125,141.9499969482422,18404600
2022-02-03,120.43034362792969,141.08999633789062,141.47999572753906,140.17999267578125,140.44000244140625,17234100
2022-02-04,118.6549072265625,139.00999450683594,140.13999938964844,138.77999877929688,139.85000610351562,23609800
2022-02-07,118.73178100585938,139.10000610351562,139.30999755859375,138.5500030517578,138.91000366210938,12962400
2022-02-08,117.9378890991211,138.1699981689453,138.5800018310547,137.82000732421875,138.2100067138672,16269200
2022-02-09,118.1598129272461,138.42999267578125,139.3699951171875,138.19000244140625,138.72000122070312,14349100
2022-02-10,116.28197479248047,136.22999572753906,137.8300018310547,135.83999633789062,137.66000366210938,30896200
2022-02-11,118.00621032714844,138.25,138.50999450683594,135.36000061035156,136.8699951171875,43210300
2022-02-14,116.5380630493164,136.52999877929688,137.74000549316406,135.97000122070312,137.1300048828125,23157400
2022-02-15,115.21504211425781,134.97999572753906,135.83999633789062,134.94000244140625,135.60000610351562,18198500
2022-02-16,115.89789581298828,135.77999877929688,136.07000732421875,134.50999450683594,135.9499969482422,16473700
2022-02-17,116.75997924804688,136.7899932861328,137.57000732421875,135.89999389648438,136.4499969482422,24508200
2022-02-18,117.98916625976562,138.22999572753906,138.3699951171875,137.16000366210938,137.52000427246094,17522600
2022-02-22,118.29641723632812,138.58999633789062,138.6699981689453,137.47000122070312,137.69000244140625,19534000
2022-02-23,116.66608428955078,136.67999267578125,137.85000610351562,136.57000732421875,137.67999267578125,17757800
2022-02-24,116.74288177490234,136.77000427246094,139.3699951171875,136.25,139.10000610351562,28150400
2022-02-25,116.8282699584961,136.8699951171875,137.30999755859375,136.17999267578125,136.86000061035156,15025400
2022-02-28,119.38902282714844,139.8699951171875,140.0399932861328,138.32000732421875,138.42999267578125,25817700
2022-03-01,120.76932525634766,141.3000030517578,142.3300018310547,140.0,140.36000061035156,35664400
2022-03-02,116.64111328125,136.47000122070312,140.4199981689453,136.41000366210938,139.83999633789062,30397400
2022-03-03,117.82917785644531,137.86000061035156,138.6999969482422,137.02000427246094,137.49000549316406,20649100
2022-03-04,119.86333465576172,140.24000549316406,140.82000732421875,139.30999755859375,140.36000061035156,25853100
2022-03-07,118.9488296508789,139.1699981689453,140.63999938964844,138.77000427246094,139.1199951171875,23710900
2022-03-08,117.75221252441406,137.77000427246094,138.25,137.25,137.50999450683594,28331300
2022-03-09,116.59837341308594,136.4199981689453,137.33999633789062,136.1300048828125,137.07000732421875,18819200
2022-03-10,114.92318725585938,134.4600067138672,135.1699981689453,133.72000122070312,134.8300018310547,26868900
2022-03-11,115.30780029296875,134.91000366210938,135.4499969482422,134.2100067138672,134.3300018310547,15583800
2022-03-14,112.61546325683594,131.75999450683594,132.88999938964844,131.72000122070312,132.6999969482422,24385000
2022-03-15,112.41886138916016,131.52999877929688,133.14999389648438,131.19000244140625,132.86000061035156,17518800
2022-03-16,113.52147674560547,132.82000732421875,133.1300048828125,130.32000732421875,131.8300018310547,25857700
2022-03-17,112.67528533935547,131.8300018310547,133.33999633789062,131.07000732421875,132.82000732421875,19330600
2022-03-18,114.05137634277344,133.44000244140625,133.5399932861328,132.57000732421875,132.57000732421875,55891700
2022-03-21,111.41035461425781,130.35000610351562,131.6699981689453,129.75,131.27999877929688,26122000
2022-03-22,109.98296356201172,128.67999267578125,129.33999633789062,128.33999633789062,128.9600067138672,21830900
2022-03-23,112.39329528808594,131.5,131.60000610351562,128.86000061035156,129.3699951171875,21266100
2022-03-24,111.5129165649414,130.47000122070312,131.17999267578125,129.60000610351562,129.64999389648438,17141600
2022-03-25,109.96591186523438,128.66000366210938,129.52000427246094,127.6500015258789,129.5,25684500
2022-03-28,110.90608978271484,129.75999450683594,130.55999755859375,129.0399932861328,129.38999938964844,17657800
2022-03-29,111.74368286132812,130.74000549316406,131.5500030517578,129.74000549316406,130.55999755859375,19319700
2022-03-30,112.61546325683594,131.75999450683594,132.00999450683594,129.99000549316406,130.07000732421875,16310200
2022-03-31,112.88895416259766,132.0800018310547,132.6699981689453,131.66000366210938,131.97999572753906,19901000
2022-04-01,113.31871795654297,132.3800048828125,132.9600067138672,129.7100067138672,130.00999450683594,23489700
